"spce_id","examin_realm_se_code_nm","spcs_lcnm","spcs_scncenm","examin_year","examin_begin_de","examin_end_de","geom"
"007000000000620665",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2015",,,POINT (325772.6710000001 319300.0172000006)
"007000000000620669",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2015",,,POINT (176849.47479999997 296382.6651000008)
"007000000000620689",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2014",,,POINT (189708.90450000018 584372.7795000002)
"007000000000620692",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2014",,,POINT (189708.90450000018 584372.7795000002)
"007000000000620699",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2014",,,POINT (196438.71490000002 584963.3651)
"007000000000620706",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2014",,,POINT (196438.71490000002 584963.3651)
"007000000000620711",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2014",,,POINT (192373.05429999996 589326.9934999999)
"007000000000620716",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2014",,,POINT (192373.05429999996 589326.9934999999)
"007000000000620722",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2014",,,POINT (192029.30900000036 589368.3883999996)
"007000000000620723",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2014",,,POINT (192029.30900000036 589368.3883999996)
"007000000000620729",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2014",,,POINT (192029.30900000036 589368.3883999996)
"007000000000620730",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2014",,,POINT (192029.30900000036 589368.3883999996)
"007000000000620763",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2014",,,POINT (379833.18479999993 464934.5639999993)
"007000000000620765",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2018",,,POINT (317848.9661999997 501413.07090000063)
"007000000000620766",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2018",,,POINT (317848.9661999997 501413.07090000063)
"007000000000620768",양서파충류,살모사,"Gloydius brevicaudus (Stejneger, 1907)","2018",,,POINT (319238.5346999997 496963.55680000037)
"007000000000620770",양서파충류,살모사,"Gloydius brevicaudus (Stejneger, 1907)","2018",,,POINT (321405.7435999997 496585.21990000084)
"007000000000620789",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2018",,,POINT (286119.1149000004 372162.60639999993)
"007000000000620798",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2018",,,POINT (288673.4112 375403.22220000066)
"007000000000620801",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2018",,,POINT (283418.2176999999 374676.6616999991)
"007000000000620828",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2015",,,POINT (275791.58299999963 624454.6962000001)
"007000000000620831",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2015",,,POINT (275791.58299999963 624454.6962000001)
"007000000000620837",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2016",,,POINT (275816.2586000003 624578.9287)
"007000000000620840",양서파충류,살모사,"Gloydius brevicaudus (Stejneger, 1907)","2016",,,POINT (275816.2586000003 624578.9287)
"007000000000620855",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2016",,,POINT (371666.3980999999 404278.5278999992)
"007000000000620857",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2016",,,POINT (371666.3980999999 404278.5278999992)
"007000000000620868",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2014",,,POINT (275260.7028999999 584148.6017000005)
"007000000000620883",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2014",,,POINT (397359.5231999997 465966.4787000008)
"007000000000620884",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2014",,,POINT (397359.5231999997 465966.4787000008)
"007000000000620889",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2014",,,POINT (391566.8432 468549.47509999946)
"007000000000620895",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2014",,,POINT (394733.67009999976 468597.7195999995)
"007000000000620898",양서파충류,쇠살모사,"Gloydius ussuriensis (Emelianov, 1929)","2014",,,POINT (395101.9960000003 469066.6771000009)
"007000000000620914",양서파충류,누룩뱀,"Elaphe dione (Pallas, 1773)","2014",,,POINT (399210.0996000003 474264.5354999993)
"007000000000620927",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (394212.98790000007 475579.5284000002)
"007000000000620956",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (261022.17360000033 590696.8815000001)
"007000000000620989",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (253925.0515999999 598250.7605000008)
"007000000000621007",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (342750.18400000036 538495.2085999995)
"007000000000621018",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (343232.3010999998 388520.35759999976)
"007000000000621022",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2015",,,POINT (348268.33719999995 385681.0209999997)
"007000000000621038",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (340138.3624999998 389033.9826999996)
"007000000000621045",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (345508.2297 389930.3311999999)
"007000000000621055",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (342260.04810000025 385736.2206999995)
"007000000000621061",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (345160.2372000003 385452.0753000006)
"007000000000621071",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2018",,,POINT (340376.1752000004 382771.21360000037)
"007000000000621086",양서파충류,이끼도롱뇽,"Karsenia koreana Min,Yang,Bonett,Vieites,Brandon,and Wake, 2005","2014",,,POINT (298714.9433000004 363037.4957999997)
"007000000000621094",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (295601.73110000044 364109.90110000037)
"007000000000621144",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (168519.36539999954 454835.06530000083)
"007000000000621150",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (168519.36539999954 454835.06530000083)
"007000000000621156",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (168519.36539999954 454835.06530000083)
"007000000000621162",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (168519.36539999954 454835.06530000083)
"007000000000621184",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2016",,,POINT (295215.0081000002 382267.5499000009)
"007000000000621191",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (369367.78000000026 334993.3531999998)
"007000000000621209",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (375383.39329999965 341585.51689999923)
"007000000000621212",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (373885.64190000016 343529.75159999914)
"007000000000621218",양서파충류,옴개구리,"Glandirana rugosa Temminck et Schlegel, 1838","2014",,,POINT (374041.5708999997 345845.59500000067)
